[100.4942607  13.7474312]
[100.4990389  13.7580547]
[100.5172247  13.7554269]
[100.51750836  13.72824262]
[100.5243217  13.6910375]
[100.52652888  13.69260892]
[100.56826385  13.75229484]
[100.5742268  13.5591152]
[100.5742919  13.5588983]
[100.574363   13.5586825]
[100.5746905  13.5577028]
[100.5747599  13.5574786]
[100.5748303  13.5572606]
[100.6194772  13.6514631]
[100.6250558  13.5997185]
[100.6433579  13.9499806]
[100.6512996  13.9491625]
[100.651323   13.9497141]
[100.6584899  13.9507407]
[100.6585293  13.9515526]
[100.659      13.9507259]
