[72.7778339 19.2244207]
[72.7779038 19.2260395]
[72.7781046 19.2238573]
[72.7785009 19.2230533]
[72.7788547 19.2275795]
[72.778984 19.222109]
[72.779403  19.2282339]
[72.7795442 19.2292248]
[72.7799856 19.223754 ]
[72.7800364 19.21974  ]
[72.7805179 19.2774386]
[72.7806256 19.2284826]
[72.7806365 19.2780564]
[72.7810182 19.2756158]
[72.7810468 19.2308897]
[72.7811205 19.2342432]
[72.7811503 19.2284672]
[72.7811743 19.2772063]
[72.7812572 19.2275152]
[72.7812803 19.277469 ]
[72.7812933 19.2307889]
[72.7815635 19.2362644]
[72.7815884 19.2168618]
[72.7816041 19.2316926]
[72.7816313 19.2265624]
[72.7816512 19.2709571]
[72.7817156 19.2714078]
[72.7817264 19.2715141]
[72.7817678 19.2709743]
[72.7817758 19.2327483]
[72.7817929 19.2345417]
[72.7818373 19.2174857]
[72.7818504 19.2330148]
[72.7818833 19.2343857]
[72.7820448 19.2344021]
[72.782052  19.2362215]
[72.7820862 19.2392027]
[72.7823333 19.2160086]
[72.7823334 19.2164974]
[72.782349  19.2159754]
[72.7823717 19.2374729]
[72.7824467 19.2404588]
[72.7825154 19.2384004]
[72.7826056 19.1346277]
[72.7826501 19.2084478]
[72.7827853 19.2167677]
[72.7827966 19.217655 ]
[72.782893  19.2406938]
[72.7832363 19.2090865]
[72.7832449 19.2096701]
[72.7833908 19.2194203]
[72.7834123 19.1666282]
[72.7834223 19.2152141]
[72.7834463 19.1662849]
[72.7835288 19.2786236]
[72.7835442 19.1963003]
[72.7835704 19.2200715]
[72.7836181 19.2403144]
[72.7836202 19.2405609]
[72.7836249 19.1965495]
[72.7836629 19.2789223]
[72.783723  19.2078085]
[72.7837629 19.2791439]
[72.7838097 19.2126677]
[72.7840338 19.1977294]
[72.7840358 19.2795761]
[72.7841518 19.279765 ]
[72.7841598 19.2077223]
[72.7841633 19.241569 ]
[72.7841705 19.1636742]
[72.7842288 19.2799537]
[72.784274  19.2801092]
[72.7842886 19.2410084]
[72.7843464 19.1982672]
[72.7843764 19.2804617]
[72.7844944 19.278097 ]
[72.7845405 19.1661887]
[72.7846511 19.2788987]
[72.7846585 19.2083136]
[72.7847659 19.2793021]
[72.7847779 19.2807502]
[72.7848005 19.1631842]
[72.7848449 19.2795396]
[72.7848849 19.2692185]
[72.784908  19.2000923]
[72.7849168 19.2798073]
[72.7849235 19.3562355]
[72.7849557 19.1632116]
[72.784983  19.2435301]
[72.784988  19.2080077]
[72.7849888 19.2799159]
[72.7850825 19.2828404]
[72.7851326 19.2525778]
[72.7851333 19.3572707]
[72.7851534 19.2928212]
[72.7852501 19.1998094]
[72.7853243 19.2062312]
[72.7853867 19.2694667]
[72.7857435 19.2850339]
[72.7857562 19.2797153]
[72.7858093 19.2801133]
[72.785834  19.2800374]
[72.7858407 19.2805325]
[72.7858448 19.2805325]
[72.7860042 19.2510632]
[72.7860321 19.1624589]
[72.7860431 19.2089642]
[72.7860807 19.1587982]
[72.7861567 19.1582665]
[72.7862645 19.1612551]
[72.7863217 19.3026441]
[72.7864039 19.2505517]
[72.7864579 19.2051101]
[72.7864623 19.2907251]
[72.7866112 19.2657392]
[72.7866125 19.2870289]
[72.7867465 19.2791644]
[72.7869245 19.2496158]
[72.7869931 19.2885438]
[72.7870488 19.3025996]
[72.7870859 19.3579239]
[72.7871186 19.2021502]
[72.7872595 19.287885 ]
[72.7872923 19.203092 ]
[72.7873623 19.3021706]
[72.7874006 19.203223 ]
[72.7874212 19.2031546]
[72.7874883 19.2820433]
[72.7876525 19.2023835]
[72.7876637 19.15602  ]
[72.7876917 19.2022529]
[72.7876994 19.2637406]
[72.7877275 19.1985272]
[72.7878016 19.3017373]
[72.7878369 19.2502072]
[72.7878988 19.1960714]
[72.7880939 19.301998 ]
[72.7881285 19.2799557]
[72.7881459 19.1983538]
[72.7881716 19.1963933]
[72.7883036 19.1550451]
[72.7883343 19.2189942]
[72.7884371 19.2188715]
[72.7885495 19.3561562]
[72.7886742 19.1336964]
[72.7887525 19.1689157]
[72.7888687 19.1688249]
[72.7888755 19.134587 ]
[72.7890403 19.1304466]
[72.7890611 19.1305008]
[72.7890733 19.1644838]
[72.7890814 19.1962474]
[72.7891365 19.1432331]
[72.7891566 19.130709 ]
[72.7891601 19.1973198]
[72.7892776 19.1360021]
[72.7893203 19.1320655]
[72.7893371 19.1330104]
[72.789368 19.279387]
[72.7894389 19.1631058]
[72.7894609 19.1561287]
[72.7895428 19.357437 ]
[72.7895696 19.1378337]
[72.7895762 19.1346861]
[72.7896022 19.1645213]
[72.7896092 19.1320737]
[72.7896274 19.1316396]
[72.7896529 19.2665915]
[72.7896768 19.2497741]
[72.7898344 19.156443 ]
[72.7898408 19.3067271]
[72.789855  19.1492321]
[72.7898703 19.1415274]
[72.7899331 19.1420255]
[72.7900026 19.1472517]
[72.7900434 19.1365538]
[72.7900568 19.1430445]
[72.7900646 19.1461639]
[72.7901294 19.1667173]
[72.7901302 19.141084 ]
[72.7901831 19.1442839]
[72.7901955 19.1445723]
[72.7901972 19.1639822]
[72.7902233 19.1350856]
[72.7902274 19.1983178]
[72.7902514 19.2530377]
[72.7902755 19.1645656]
[72.790331 19.214227]
[72.7903478 19.2529675]
[72.7903691 19.1383549]
[72.7903783 19.2633592]
[72.7903933 19.1318579]
[72.7904012 19.1320802]
[72.7904133 19.1344554]
[72.7904149 19.1327763]
[72.7904149 19.1403808]
[72.7904292 19.1522539]
[72.7904548 19.140884 ]
[72.7904776 19.1330615]
[72.7904822 19.1461138]
[72.7904963 19.133972 ]
[72.7905477 19.2761206]
[72.7905732 19.1518782]
[72.7906063 19.3555049]
[72.7906085 19.134489 ]
[72.7906244 19.3070425]
[72.7906317 19.1470196]
[72.7906752 19.1474154]
[72.790693  19.1340051]
[72.7907746 19.3076399]
[72.7908083 19.2610119]
[72.7909025 19.1667763]
[72.7909045 19.1493808]
[72.7909674 19.1345508]
[72.7910115 19.150414 ]
[72.7910198 19.2784213]
[72.7910583 19.1340666]
[72.7910616 19.1382418]
[72.791078  19.1380176]
[72.7911502 19.2141444]
[72.7912016 19.2156306]
[72.7912413 19.1374009]
[72.7913353 19.1367761]
[72.7914151 19.1448489]
[72.7914173 19.1405804]
[72.7914379 19.2178117]
[72.7914623 19.359014 ]
[72.7914733 19.1341365]
[72.7915168 19.3542319]
[72.7915276 19.2548141]
[72.7915445 19.3541863]
[72.7916836 19.1688522]
[72.7917223 19.1409079]
[72.7917579 19.1991728]
[72.7917627 19.1397847]
[72.7918389 19.1659454]
[72.7918638 19.2165951]
[72.7919956 19.1690612]
[72.7920163 19.1368066]
[72.7920897 19.2166827]
[72.7921834 19.3505211]
[72.7922292 19.1357385]
[72.7922786 19.2431538]
[72.7923774 19.1383754]
[72.7924136 19.1348981]
[72.7924209 19.167667 ]
[72.7924259 19.3509147]
[72.7924795 18.9485095]
[72.7924868 19.132844 ]
[72.7925081 19.136836 ]
[72.7925431 18.9483406]
[72.7926282 19.3081665]
[72.792724  19.2589335]
[72.7927984 18.9509288]
[72.7929923 19.3595178]
[72.7929952 18.9489056]
[72.793013 18.951562]
[72.7930559 18.9515214]
[72.7930639 18.9487771]
[72.7930799 18.9488321]
[72.7930922 18.9488745]
[72.7931134 18.9468778]
[72.7931253 19.3518072]
[72.7931332 18.9514808]
[72.7931728 18.9493241]
[72.7931773 19.1333403]
[72.7931847 18.9514727]
[72.7932348 18.9513968]
[72.793262  19.2417904]
[72.7932778 18.9514617]
[72.7932955 18.9500084]
[72.7933048 18.951911 ]
[72.7934754 19.2429396]
[72.7935151 19.1330873]
[72.7935617 18.9461454]
[72.7935617 19.2608687]
[72.7935845 19.3515916]
[72.7935874 18.946389 ]
[72.7935907 18.9400726]
[72.793596  18.9448303]
[72.7936071 19.3080551]
[72.7936586 18.9448162]
[72.7936702 19.1414031]
[72.7936732 18.9461536]
[72.7936771 18.94048  ]
[72.7937371 19.2432162]
[72.7937496 18.9485571]
[72.7937696 19.1321473]
[72.7937743 19.1320205]
[72.7937762 18.9447897]
[72.7938162 19.1347279]
[72.7938964 18.9510812]
[72.7939117 19.1353959]
[72.7939174 18.9410646]
[72.7939432 18.9403989]
[72.7939485 18.9460591]
[72.7939661 19.1328903]
[72.7939884 18.9511464]
[72.7940171 18.9463595]
[72.794021  19.2412995]
[72.7940337 18.9464458]
[72.7941024 18.9459262]
[72.794111  18.9466893]
[72.7941373 18.9467654]
[72.7941545 18.9454524]
[72.7941629 18.9454797]
[72.7941944 19.2698607]
[72.7942311 18.945772 ]
[72.7942549 18.9445033]
[72.794266  18.9469196]
[72.7942738 19.2480716]
[72.7942746 18.9446547]
[72.7942918 18.9447034]
[72.7943089 19.3560772]
[72.7944086 19.3506243]
[72.7944191 19.2442992]
[72.7944463 18.9453362]
[72.7944667 19.3065427]
[72.7944687 18.9436953]
[72.7945097 19.1483574]
[72.7946548 18.9452648]
[72.7946851 18.9453111]
[72.7947298 19.2640041]
[72.7947651 18.9482008]
[72.7947697 19.2837973]
[72.7948577 18.9444564]
[72.794875  19.2666315]
[72.7949575 19.1470185]
[72.7949621 19.169372 ]
[72.7949784 18.9456126]
[72.795133  18.9495081]
[72.7952604 18.9526577]
[72.7952865 19.1485476]
[72.7952868 19.1677566]
[72.7953301 18.9496817]
[72.7953392 18.9540931]
[72.7953558 18.9481474]
[72.7953825 19.3491633]
[72.7953875 19.1461917]
[72.7954065 19.1489511]
[72.7954202 19.1465354]
[72.7954389 19.1469234]
[72.7954406 18.9498474]
[72.7954427 19.2678406]
[72.79545   19.2675957]
[72.7954684 18.9498891]
[72.7954844 19.2754939]
[72.7954848 18.9482266]
[72.795491  19.1485457]
[72.7955074 18.9481257]
[72.7955122 19.1457228]
[72.7955178 18.9493466]
[72.7955449 18.9483159]
[72.7955654 19.3522775]
[72.7955707 18.948186 ]
[72.7955727 18.9458964]
[72.795625  19.2653644]
[72.7956293 19.1676539]
[72.7956522 18.9461356]
[72.7956723 18.9502395]
[72.7956737 18.9481049]
[72.7956865 18.9462386]
[72.7957259 19.1485377]
[72.7957509 18.9464065]
[72.7957644 18.9503708]
[72.7957728 18.94771  ]
[72.7957772 19.2696264]
[72.7958116 18.949111 ]
[72.795823  18.9504594]
[72.7958274 19.1445268]
[72.795844  18.9504912]
[72.7958723 18.9489517]
[72.7959015 19.2628889]
[72.7959126 18.94903  ]
[72.7959211 19.3513181]
[72.7959472 19.3483021]
[72.7959552 18.9503691]
[72.7959726 18.9465524]
[72.7960108 19.2755665]
[72.7960992 19.1419467]
[72.7961322 19.2607199]
[72.7961371 18.9467167]
[72.796196 18.954638]
[72.7962051 19.2879057]
[72.7962633 18.9468408]
[72.7962743 19.1699645]
[72.7962981 19.2839235]
[72.7963206 19.2609045]
[72.7963378 18.9523915]
[72.7963609 18.9545326]
[72.7963819 19.2756715]
[72.7964784 19.1700981]
[72.7964786 18.9546823]
[72.7965809 18.954617 ]
[72.7966431 19.1912331]
[72.7966656 18.9519369]
[72.7967023 18.9522771]
[72.7967217 19.1447502]
[72.796755  19.2759659]
[72.7967795 18.9521878]
[72.7967806 19.1901329]
[72.7968181 19.290533 ]
[72.7968305 19.2899614]
[72.7968317 18.95227  ]
[72.7968719 19.1893987]
[72.7968913 19.189263 ]
[72.7969317 19.1890882]
[72.7969547 19.1724887]
[72.7969769 19.1504346]
[72.7970079 18.9525469]
[72.7970186 18.9543004]
[72.7970248 19.1499363]
[72.797069  19.1924688]
[72.7971238 18.9527007]
[72.7971351 19.2652834]
[72.7971599 18.9542251]
[72.7971894 19.193371 ]
[72.7971968 18.9524738]
[72.7972076 18.9478919]
[72.797215  19.1890895]
[72.7972576 18.9478272]
[72.7973075 19.1900982]
[72.7973465 19.188043 ]
[72.7973694 18.95144  ]
[72.7973866 19.2663426]
[72.7974114 18.9523926]
[72.7974291 19.1911736]
[72.7974543 18.9532044]
[72.7974716 19.1973793]
[72.797517  18.9533243]
[72.7975478 18.9482361]
[72.7975674 19.1433217]
[72.7975961 19.1923853]
[72.7976077 18.9540026]
[72.7976339 18.9535442]
[72.7976392 18.9480561]
[72.7976428 19.197908 ]
[72.7976507 19.1819152]
[72.797651  18.9535929]
[72.7976782 18.9483113]
[72.79771   19.1877729]
[72.7977149 19.1854356]
[72.7977432 19.1842647]
[72.7977494 18.9494162]
[72.7977557 19.1879021]
[72.7977674 19.1985288]
[72.7977949 18.9538728]
[72.7978282 19.1749675]
[72.7978398 19.1796038]
[72.7978484 19.1763418]
[72.7978542 19.1794272]
[72.7978799 19.3463951]
[72.797946  19.1430971]
[72.7979549 19.353733 ]
[72.7979808 19.1427232]
[72.7979864 18.9543734]
[72.7980163 18.9521689]
[72.7980455 19.1885745]
[72.7980601 19.1990615]
[72.7981164 19.1923266]
[72.7981634 19.3473106]
[72.7981711 19.3528279]
[72.7982002 19.3465305]
[72.7982875 19.1990594]
[72.798325  19.3593811]
[72.7983551 19.181921 ]
[72.7983618 19.2719066]
[72.7983674 18.9547286]
[72.7983758 18.9488632]
[72.7984081 19.1835546]
[72.7984361 19.1921787]
[72.7984437 19.1922783]
[72.7984455 19.1838547]
[72.7984486 19.3474607]
[72.7984627 18.9528655]
[72.7984652 19.3454214]
[72.7984903 19.3466553]
[72.7985197 19.1895408]
[72.7985247 19.1841809]
[72.7985305 18.9549559]
[72.7985762 18.9550359]
[72.7986301 18.9580506]
[72.7987101 19.1979722]
[72.7987433 19.1984665]
[72.7988089 19.3468   ]
[72.7988268 19.1894685]
[72.7988309 18.9557007]
[72.798888 19.183563]
[72.7988971 18.9504141]
[72.7989425 19.3519963]
[72.7989441 18.9538858]
[72.7989565 19.2574529]
[72.7989689 19.1884596]
[72.7989697 19.1888598]
